"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","06-Jul-2021","       3321.00","       3313.00","       3328.00","       3256.10","       3273.65","       3262.30","       3285.26","    2159420","          7094262857.45","     142732","    1052180","         48.73"
"TCS","EQ","07-Jul-2021","       3262.30","       3275.00","       3282.70","       3241.60","       3275.85","       3274.95","       3264.79","    2640710","          8621356119.05","     119862","    1398154","         52.95"
"TCS","EQ","08-Jul-2021","       3274.95","       3298.00","       3298.00","       3231.90","       3253.00","       3258.50","       3264.38","    2485811","          8114642972.35","     159147","    1154747","         46.45"
"TCS","EQ","09-Jul-2021","       3258.50","       3250.00","       3282.00","       3201.00","       3211.80","       3208.15","       3232.37","    6365067","         20574274921.25","     321370","    2125726","         33.40"
"TCS","EQ","12-Jul-2021","       3208.15","       3235.00","       3236.00","       3188.35","       3198.40","       3193.10","       3212.90","    1892226","          6079523668.95","     136133","     960804","         50.78"
"TCS","EQ","13-Jul-2021","       3193.10","       3214.00","       3214.00","       3175.00","       3190.40","       3187.55","       3192.60","    1809339","          5776498373.75","     119046","    1151250","         63.63"
"TCS","EQ","14-Jul-2021","       3187.55","       3187.00","       3222.00","       3185.00","       3214.40","       3214.55","       3207.79","    2044279","          6557620557.05","     121236","    1175668","         57.51"
"TCS","EQ","15-Jul-2021","       3214.55","       3227.60","       3231.85","       3194.00","       3201.90","       3202.95","       3207.01","    2232968","          7161160396.00","     134474","    1419357","         63.56"
"TCS","EQ","16-Jul-2021","       3202.95","       3213.00","       3219.85","       3192.00","       3194.50","       3194.80","       3202.38","    1256526","          4023879474.80","      90365","     762190","         60.66"
"TCS","EQ","19-Jul-2021","       3194.80","       3180.00","       3199.80","       3176.00","       3184.90","       3184.60","       3185.26","    1597058","          5087041968.65","      78047","    1033190","         64.69"
"TCS","EQ","20-Jul-2021","       3184.60","       3184.60","       3215.00","       3156.15","       3203.85","       3205.80","       3187.48","    1811945","          5775540904.05","     132943","    1090944","         60.21"
"TCS","EQ","22-Jul-2021","       3205.80","       3190.00","       3224.95","       3190.00","       3214.70","       3216.35","       3212.15","    2859334","          9184601700.55","     121867","    1999067","         69.91"
"TCS","EQ","23-Jul-2021","       3216.35","       3230.00","       3241.55","       3206.65","       3210.00","       3212.85","       3225.77","    1776193","          5729596471.60","     100269","    1119762","         63.04"
"TCS","EQ","26-Jul-2021","       3212.85","       3200.00","       3224.25","       3190.85","       3200.35","       3197.55","       3205.52","    1259611","          4037709192.05","      87600","     760050","         60.34"
"TCS","EQ","27-Jul-2021","       3197.55","       3200.00","       3210.00","       3161.15","       3187.95","       3182.95","       3185.06","    1121367","          3571616645.05","      79117","     736732","         65.70"
"TCS","EQ","28-Jul-2021","       3182.95","       3188.00","       3204.45","       3132.40","       3199.90","       3197.80","       3169.59","    1660654","          5263594035.55","     113534","     954569","         57.48"
"TCS","EQ","29-Jul-2021","       3197.80","       3200.25","       3225.45","       3190.30","       3194.00","       3195.80","       3207.56","    1731997","          5555484672.65","     123060","    1099206","         63.46"
"TCS","EQ","30-Jul-2021","       3195.80","       3219.00","       3223.50","       3162.35","       3167.70","       3167.45","       3191.59","    2999943","          9574588335.95","     140915","    2166295","         72.21"
"TCS","EQ","02-Aug-2021","       3167.45","       3180.00","       3224.90","       3167.00","       3220.00","       3219.40","       3199.51","    2608669","          8346453822.50","     112175","    1907700","         73.13"
"TCS","EQ","03-Aug-2021","       3219.40","       3229.00","       3290.00","       3218.95","       3278.50","       3284.90","       3265.75","    3804735","         12425311115.35","     169947","    2236727","         58.79"
"TCS","EQ","04-Aug-2021","       3284.90","       3300.00","       3305.20","       3261.20","       3275.00","       3273.95","       3280.85","    2929598","          9611565427.20","      97356","    1989255","         67.90"
"TCS","EQ","05-Aug-2021","       3273.95","       3275.00","       3315.00","       3262.50","       3282.15","       3283.95","       3291.59","    2534521","          8342597223.05","     101103","    1358151","         53.59"
"TCS","EQ","06-Aug-2021","       3283.95","       3272.55","       3324.00","       3265.00","       3311.00","       3309.80","       3299.35","    2292362","          7563309162.25","     102596","    1459676","         63.68"
