"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","20-Oct-2021","       3634.15","       3612.00","       3630.00","       3578.30","       3607.95","       3608.85","       3606.05","    2933693","         10579039337.05","     175675","    1685241","         57.44"
"TCS","EQ","21-Oct-2021","       3608.85","       3604.10","       3607.45","       3511.25","       3532.85","       3532.50","       3546.27","    4871211","         17274650004.55","     295349","    3125514","         64.16"
"TCS","EQ","22-Oct-2021","       3532.50","       3560.00","       3561.60","       3485.00","       3501.85","       3498.85","       3511.44","    2691670","          9451650099.45","     163976","    1700467","         63.18"
"TCS","EQ","25-Oct-2021","       3498.85","       3503.00","       3514.55","       3450.00","       3491.00","       3492.95","       3477.23","    2595594","          9025471433.60","     139684","    1627737","         62.71"
"TCS","EQ","26-Oct-2021","       3492.95","       3494.50","       3529.00","       3475.00","       3485.90","       3482.60","       3494.69","    3878763","         13555085104.10","     155172","    2821225","         72.74"
"TCS","EQ","27-Oct-2021","       3482.60","       3483.00","       3511.25","       3483.00","       3488.45","       3489.75","       3495.53","    2510813","          8776620129.00","     122328","    1766894","         70.37"
"TCS","EQ","28-Oct-2021","       3489.75","       3518.00","       3518.00","       3415.00","       3423.00","       3421.65","       3450.19","    2424942","          8366511722.10","     187690","    1497979","         61.77"
"TCS","EQ","29-Oct-2021","       3421.65","       3400.05","       3461.00","       3385.95","       3404.00","       3397.75","       3424.21","    3960501","         13561601567.60","     241935","    2238879","         56.53"
"TCS","EQ","01-Nov-2021","       3397.75","       3437.95","       3487.00","       3412.95","       3482.35","       3476.40","       3445.74","    2020718","          6962871688.90","     154841","    1166862","         57.74"
"TCS","EQ","02-Nov-2021","       3476.40","       3494.00","       3513.60","       3469.75","       3484.00","       3484.20","       3490.81","    3087414","         10777567152.90","     134659","    2067119","         66.95"
"TCS","EQ","03-Nov-2021","       3484.20","       3504.20","       3519.90","       3466.05","       3488.00","       3492.25","       3492.58","    1537639","          5370327266.85","      98779","     791208","         51.46"
"TCS","EQ","04-Nov-2021","       3492.25","       3512.95","       3513.25","       3505.00","       3508.65","       3508.65","       3509.12","     328991","          1154468248.30","      42244","     246904","         75.05"
"TCS","EQ","08-Nov-2021","       3508.65","       3548.00","       3548.00","       3481.20","       3506.00","       3502.75","       3503.30","    2526082","          8849622221.80","     144893","    1652814","         65.43"
"TCS","EQ","09-Nov-2021","       3502.75","       3508.00","       3535.00","       3496.00","       3503.00","       3505.70","       3508.51","    1782692","          6254594395.95","      90441","    1106403","         62.06"
"TCS","EQ","10-Nov-2021","       3505.70","       3498.00","       3519.70","       3480.20","       3484.95","       3484.30","       3494.09","    1516489","          5298754955.55","     115924","     955899","         63.03"
"TCS","EQ","11-Nov-2021","       3484.30","       3480.00","       3510.05","       3436.00","       3505.00","       3488.20","       3464.62","    1284514","          4450347031.55","      98386","     614576","         47.85"
"TCS","EQ","12-Nov-2021","       3488.20","       3506.00","       3534.15","       3485.70","       3524.00","       3526.05","       3509.52","    1747259","          6132048785.70","      98323","    1086001","         62.15"
"TCS","EQ","15-Nov-2021","       3526.05","       3528.00","       3569.60","       3528.00","       3550.00","       3553.30","       3554.41","    1809157","          6430484084.55","     113981","    1104175","         61.03"
"TCS","EQ","16-Nov-2021","       3553.30","       3569.00","       3575.55","       3542.00","       3548.00","       3556.40","       3560.79","    2013204","          7168605743.85","     105284","    1371662","         68.13"
"TCS","EQ","17-Nov-2021","       3556.40","       3550.60","       3562.85","       3506.40","       3520.80","       3521.90","       3533.85","    1632914","          5770466506.80","     126358","    1033842","         63.31"
"TCS","EQ","18-Nov-2021","       3521.90","       3515.15","       3520.85","       3451.60","       3471.95","       3475.70","       3478.49","    2136598","          7432143867.40","     135284","    1367516","         64.00"
