"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"TCS","EQ","13-Dec-2021","       3636.80","       3650.00","       3662.00","       3601.70","       3615.00","       3609.65","       3626.62","    1883864","          6832065637.60","      93875"
"TCS","EQ","14-Dec-2021","       3609.65","       3605.00","       3635.00","       3576.70","       3619.95","       3623.80","       3618.04","    1747007","          6320734400.10","     105436"
"TCS","EQ","15-Dec-2021","       3623.80","       3620.00","       3623.00","       3558.15","       3571.00","       3570.35","       3575.02","    1603233","          5731595939.60","     109534"
"TCS","EQ","16-Dec-2021","       3570.35","       3582.00","       3608.45","       3570.00","       3585.00","       3581.60","       3582.96","    2072320","          7425032318.85","      93950"
"TCS","EQ","17-Dec-2021","       3581.60","       3602.50","       3651.35","       3573.70","       3574.90","       3584.35","       3608.90","    4333992","         15640958964.15","     213460"
"TCS","EQ","20-Dec-2021","       3584.35","       3589.00","       3606.00","       3510.15","       3559.30","       3556.90","       3569.27","    2312310","          8253261975.10","     146094"
"TCS","EQ","21-Dec-2021","       3556.90","       3582.65","       3641.20","       3566.40","       3611.00","       3608.30","       3617.22","    2340989","          8467877601.90","     118423"
"TCS","EQ","22-Dec-2021","       3608.30","       3624.00","       3636.80","       3606.25","       3628.30","       3630.75","       3625.84","    1224328","          4439223316.50","     102255"
"TCS","EQ","23-Dec-2021","       3630.75","       3648.00","       3670.50","       3630.00","       3660.65","       3662.70","       3656.52","    1792861","          6555623174.05","      98445"
"TCS","EQ","24-Dec-2021","       3662.70","       3685.00","       3705.00","       3644.80","       3671.00","       3670.90","       3673.31","    2209923","          8117727561.70","      88664"
"TCS","EQ","27-Dec-2021","       3670.90","       3671.00","       3700.00","       3653.10","       3696.50","       3696.10","       3684.66","    1534135","          5652764172.30","      80828"
"TCS","EQ","28-Dec-2021","       3696.10","       3710.00","       3725.00","       3693.85","       3706.95","       3706.55","       3713.05","    1456218","          5407012571.25","      83968"
"TCS","EQ","29-Dec-2021","       3706.55","       3692.25","       3719.95","       3685.00","       3688.05","       3694.70","       3704.90","    1456923","          5397758672.00","      94120"
"TCS","EQ","30-Dec-2021","       3694.70","       3681.35","       3740.00","       3680.00","       3737.00","       3733.75","       3725.52","    1966475","          7326133567.90","     105274"
"TCS","EQ","31-Dec-2021","       3733.75","       3742.80","       3760.00","       3731.30","       3740.00","       3738.35","       3744.51","    1207141","          4520149056.45","     101227"
"TCS","EQ","03-Jan-2022","       3738.35","       3750.00","       3830.00","       3745.00","       3815.00","       3817.75","       3807.43","    2346158","          8932827981.15","     143798"
"TCS","EQ","04-Jan-2022","       3817.75","       3831.10","       3889.15","       3811.70","       3878.70","       3884.75","       3859.30","    2488606","          9604274014.30","     141253"
"TCS","EQ","05-Jan-2022","       3884.75","       3865.00","       3870.00","       3812.40","       3856.00","       3860.95","       3847.67","    1733031","          6668131688.00","     136018"
"TCS","EQ","06-Jan-2022","       3860.95","       3812.00","       3835.00","       3772.00","       3809.95","       3807.45","       3802.98","    1810293","          6884500149.55","     135529"
"TCS","EQ","07-Jan-2022","       3807.45","       3820.00","       3864.90","       3796.40","       3858.90","       3853.50","       3839.03","    2460591","          9446283701.75","     157006"
"TCS","EQ","10-Jan-2022","       3853.50","       3978.00","       3978.00","       3861.00","       3884.00","       3879.85","       3897.84","    3937092","         15346166149.80","     247085"
"TCS","EQ","11-Jan-2022","       3879.85","       3856.00","       3925.00","       3856.00","       3917.00","       3915.90","       3896.96","    1906106","          7428014700.35","     160870"
"TCS","EQ","12-Jan-2022","       3915.90","       3925.00","       3929.00","       3836.55","       3857.00","       3859.90","       3874.16","    3203744","         12411815990.80","     241232"
"TCS","EQ","13-Jan-2022","       3859.90","       3918.00","       3923.00","       3857.00","       3898.00","       3897.90","       3891.72","    6684507","         26014258279.50","     401435"
"TCS","EQ","14-Jan-2022","       3897.90","       3877.85","       3977.00","       3860.05","       3965.35","       3968.15","       3924.25","    3348123","         13138881273.10","     213960"
"TCS","EQ","17-Jan-2022","       3968.15","       3992.70","       4043.00","       3962.30","       4025.00","       4019.15","       4010.33","    3442604","         13805980840.45","     230947"
"TCS","EQ","18-Jan-2022","       4019.15","       4033.95","       4041.70","       3980.00","       3993.95","       3990.60","       4009.82","    2389041","          9579619424.10","     185771"
"TCS","EQ","19-Jan-2022","       3990.60","       4012.00","       4012.00","       3910.50","       3914.70","       3914.65","       3937.16","    3102539","         12215195983.15","     260043"
"TCS","EQ","20-Jan-2022","       3914.65","       3910.00","       3920.00","       3811.00","       3833.15","       3826.55","       3843.03","    6176776","         23737557017.75","     349194"
"TCS","EQ","21-Jan-2022","       3826.55","       3807.00","       3851.55","       3771.10","       3840.00","       3833.50","       3820.58","    3112358","         11891026050.45","     240408"
"TCS","EQ","24-Jan-2022","       3833.50","       3840.00","       3849.65","       3740.10","       3769.95","       3771.35","       3783.08","    3258414","         12326830753.15","     288359"
"TCS","EQ","25-Jan-2022","       3771.35","       3769.50","       3809.40","       3722.20","       3765.00","       3769.90","       3763.15","    3330501","         12533182476.50","     298567"
"TCS","EQ","27-Jan-2022","       3769.90","       3731.00","       3733.40","       3625.10","       3652.00","       3649.25","       3669.10","    5718297","         20981028870.55","     473910"
"TCS","EQ","28-Jan-2022","       3649.25","       3646.00","       3729.80","       3646.00","       3697.85","       3690.05","       3702.94","    3143862","         11641524811.25","     226989"
"TCS","EQ","31-Jan-2022","       3690.05","       3749.00","       3758.00","       3721.40","       3744.95","       3736.25","       3741.03","    2739393","         10248148872.10","     193114"
"TCS","EQ","01-Feb-2022","       3736.25","       3770.00","       3808.00","       3736.40","       3805.00","       3800.65","       3781.44","    2105169","          7960578363.50","     149564"
"TCS","EQ","02-Feb-2022","       3800.65","       3827.90","       3864.00","       3800.65","       3863.00","       3856.20","       3841.31","    1984212","          7621963889.90","     139468"
"TCS","EQ","03-Feb-2022","       3856.20","       3851.00","       3882.50","       3816.05","       3819.00","       3824.60","       3850.57","    1960538","          7549182942.05","     137513"
"TCS","EQ","04-Feb-2022","       3824.60","       3815.30","       3824.70","       3769.00","       3818.00","       3814.90","       3804.03","    2307366","          8777283685.05","     160651"
"TCS","EQ","07-Feb-2022","       3814.90","       3791.00","       3831.80","       3756.15","       3781.80","       3779.00","       3791.19","    1919149","          7275863610.70","     159690"
"TCS","EQ","08-Feb-2022","       3779.00","       3791.55","       3799.70","       3721.00","       3738.00","       3743.45","       3741.49","    2946443","         11024097961.50","     209984"
"TCS","EQ","09-Feb-2022","       3743.45","       3750.00","       3777.95","       3746.10","       3761.65","       3760.55","       3761.99","    1638721","          6164860124.35","     124222"
"TCS","EQ","10-Feb-2022","       3760.55","       3789.80","       3789.80","       3758.00","       3765.70","       3770.35","       3771.41","    2112459","          7966959377.85","     127158"
"TCS","EQ","11-Feb-2022","       3770.35","       3752.50","       3752.50","       3690.00","       3693.00","       3694.95","       3703.65","    3851488","         14264552938.20","     242420"
"TCS","EQ","14-Feb-2022","       3694.95","       3724.00","       3793.25","       3710.00","       3729.15","       3733.75","       3749.84","    5951745","         22318114654.20","     452110"
"TCS","EQ","15-Feb-2022","       3733.75","       3786.00","       3835.00","       3748.00","       3832.95","       3817.80","       3784.27","    3931683","         14878547124.95","     347451"
"TCS","EQ","16-Feb-2022","       3817.80","       3844.00","       3854.10","       3806.00","       3810.00","       3813.10","       3822.91","    3256906","         12450874614.35","     224789"
"TCS","EQ","17-Feb-2022","       3813.10","       3825.00","       3835.00","       3779.00","       3783.85","       3784.20","       3796.61","    3134372","         11900002924.70","     259784"
"TCS","EQ","18-Feb-2022","       3784.20","       3769.00","       3815.95","       3757.60","       3800.00","       3793.90","       3788.53","    3688883","         13975451807.20","     286278"
"TCS","EQ","21-Feb-2022","       3793.90","       3810.00","       3827.80","       3705.55","       3719.35","       3719.40","       3746.53","    7465922","         27971335681.40","     521065"
"TCS","EQ","22-Feb-2022","       3719.40","       3650.00","       3667.90","       3570.00","       3590.00","       3586.40","       3596.79","    5408531","         19453348172.20","     334519"
"TCS","EQ","23-Feb-2022","       3586.40","       3611.00","       3622.90","       3555.65","       3571.90","       3563.80","       3581.54","    2426203","          8689549721.75","     166091"
"TCS","EQ","24-Feb-2022","       3563.80","       3474.00","       3483.85","       3391.10","       3400.45","       3401.65","       3440.54","    5039136","         17337349379.30","     344070"
"TCS","EQ","25-Feb-2022","       3401.65","       3468.00","       3530.00","       3462.00","       3525.00","       3520.75","       3508.31","    2549723","          8945212715.30","     178046"
"TCS","EQ","28-Feb-2022","       3520.75","       3490.00","       3563.75","       3455.90","       3550.15","       3554.20","       3529.86","    3288942","         11609499907.55","     157832"
"TCS","EQ","02-Mar-2022","       3554.20","       3552.50","       3571.95","       3506.00","       3549.00","       3546.15","       3537.16","    2761341","          9767303515.95","     159497"
"TCS","EQ","03-Mar-2022","       3546.15","       3562.85","       3578.60","       3530.10","       3544.00","       3544.40","       3553.27","    1928039","          6850848054.25","     162316"
"TCS","EQ","04-Mar-2022","       3544.40","       3501.50","       3561.20","       3487.05","       3519.80","       3524.35","       3525.56","    2370257","          8356482128.95","     150154"
